"vehicleid","date","start_rounded","finish_rounded","tripid"
6997,"2020-08-07","07:00:00","07:05:00",47801311
7002,"2020-08-05","06:05:00","06:20:00",47580644
7002,"2020-08-05","08:55:00","09:15:00",47580975
7005,"2020-08-03","07:00:00","07:05:00",47580745
7015,"2020-08-03","16:55:00","17:00:00",47377026
7015,"2020-08-05","17:10:00","17:15:00",47376965
7022,"2020-08-06","17:15:00","17:20:00",47378678
7023,"2020-08-03","07:30:00","07:35:00",47378655
7023,"2020-08-06","07:40:00","07:50:00",47377575
7024,"2020-08-04","16:50:00","16:55:00",47377026
7027,"2020-08-05","06:55:00","07:10:00",47377552
